Year,Month,Date,Day_of_week,Hour,Minutes,Temperature,Is_weekend,Is_holiday,Is_start_of_semester,Is_during_semester,Number_people
2015,8,14,4,17,0,71.76,0,0,0,0,37
2015,8,14,4,17,20,71.76,0,0,0,0,45
2015,8,14,4,17,30,71.76,0,0,0,0,40
2015,8,14,4,17,40,71.76,0,0,0,0,44
2015,8,14,4,17,50,71.76,0,0,0,0,45
2015,8,14,4,18,0,72.15,0,0,0,0,46
2015,8,14,4,18,20,72.15,0,0,0,0,43
2015,8,14,4,18,30,72.15,0,0,0,0,53
2015,8,14,4,18,40,72.15,0,0,0,0,54
2015,8,14,4,18,50,72.15,0,0,0,0,43
2015,8,14,4,19,0,69.97,0,0,0,0,39
2015,8,14,4,19,20,69.97,0,0,0,0,38
2015,8,14,4,19,30,69.97,0,0,0,0,45
2015,8,14,4,19,40,69.97,0,0,0,0,41
2015,8,14,4,19,50,69.97,0,0,0,0,36
2015,8,14,4,20,0,68.8,0,0,0,0,42
2015,8,14,4,20,21,68.8,0,0,0,0,35
2015,8,14,4,20,31,68.8,0,0,0,0,36
2015,8,14,4,20,41,68.8,0,0,0,0,48
2015,8,14,4,20,51,68.8,0,0,0,0,40
2015,8,14,4,21,1,68.04,0,0,0,0,49
2015,8,14,4,21,20,68.04,0,0,0,0,37
2015,8,14,4,21,30,68.04,0,0,0,0,48
2015,8,14,4,21,40,68.04,0,0,0,0,45
2015,8,14,4,21,50,68.04,0,0,0,0,45
2015,8,14,4,22,0,67.55,0,0,0,0,38
2015,8,14,4,22,20,67.55,0,0,0,0,41
2015,8,14,4,22,30,67.55,0,0,0,0,41
2015,8,14,4,22,40,67.55,0,0,0,0,37
2015,8,14,4,22,50,67.55,0,0,0,0,33
2015,8,14,4,23,0,67.0,0,0,0,0,22
2015,8,14,4,23,20,67.0,0,0,0,0,2
2015,8,14,4,23,30,67.0,0,0,0,0,1
2015,8,14,4,23,40,67.0,0,0,0,0,0
2015,8,14,4,23,50,67.0,0,0,0,0,0
2015,8,15,5,0,0,66.76,1,0,0,0,0
2015,8,15,5,0,20,66.76,1,0,0,0,1
2015,8,15,5,0,30,66.76,1,0,0,0,0
2015,8,15,5,0,40,66.76,1,0,0,0,0
2015,8,15,5,0,50,66.76,1,0,0,0,0
2015,8,15,5,1,0,66.32,1,0,0,0,0
2015,8,15,5,5,20,65.07,1,0,0,0,0
2015,8,15,5,5,30,65.07,1,0,0,0,1
2015,8,15,5,5,40,65.07,1,0,0,0,0
2015,8,15,5,5,50,65.07,1,0,0,0,1
